hashtag,likes
livros,560029
literatura,374586
eassimqueacaba,354301
livrosdefantasia,296982
netflix,277248
bridgerton,274346
bookstagram,259696
bookgram,255443
juliaquinn,254362
explorar,245983
companhiadasletras,244457
bridgertonnetflix,239258
ossegredosdecolinbridgerton,238538
season,238538
galerarecord,236215
colin,232218
penelope,232218
polin,232218
sarahjmaas,230317
editorarocco,225662
leitura,225342
livrosderomance,217816
fantasias,196070
literaturanacional,194711
cortedeespinhoserosas,193999
fantasia,193187
romance,178545
oprincipecruel,172940
rhysand,171783
colleenhoover,165189
hollyblack,159411
livrosemaislivros,157490
thecruelprince,157156
repost,151552
livroseleitura,139488
dicadeleitura,136248
booktok,134783
bookrecommendations,134472
itendswithus,133124
naoficçao,129042
viral,128658
memes,127782
eassimquecomeça,126158
oreiperverso,126129
arainhadonada,126129
thewickedking,126129
thequeenofnothing,126129
comediaromantica,120775
romances,111285
livrolgbt,110020
literaturabrasileira,108660
cortedenevoaefuria,105742
shondaland,105214
feyre,104965
ahipotesedoamor,101378
dicadelivro,99231
tronodevidro,92388
oavessodapele,92183
horror,91157
fanfic,91071
livrosdedrama,89368
dramas,87626
lilybloom,87626
romancesincriveis,87626
eassimquecomeçacapadura,87626
filmesromanticos,87626
itstartswithus,87626
throneofglass,87556
jude,84218
jurdan,83157
gothic,82940
goth,82940
meme,81002
fantasy,80224
acosf,78387
cortedegeloeestrelas,78387
feyrearcheron,78387
cortedeasaseruina,78387
ediçaodeluxo,77610
feyreandrhysand,77610
acourtofthornandroses,77610
romcom,76050
alihazelwood,73464
bizarro,73454
literaturacontemporanea,71764
igliterario,71202
oherdeiroroubado,71116
thestolenheir,70228
theprisonersthrone,70228
cardangreenbriar,70228
oak,70228
oakandwren,70228
judeandcardan,70228
opovodoar,70228
wren,70228
judeecardan,70228
thefolkoftheair,70228
acourtofthornsandroses,66818
naoacensura,66633
amorteoricamente,64797
xequemate,64797
livro,64754
noiva,63686
harrypotter,63080
odeioteamar,61420
arazaodoamor,61420
suspenses,61369
editoraparalela,60668
plantas,59915
viagem,59915
macabro,59915
inglaterra,59915
darksidebooks,59150
academiabrasileiradeletras,59133
ajudars,58855
emdefesadoslivros,58172
leiamais,56516
amoler,56325
leiagalerarecord,56208
instalivros,55026
romancedeepoca,54737
lendo,54408
amolivros,54145
ageraçaoansiosa,53575
prevenda,52588
lerfazbem,52070
livrosecitacoes,52070
