username,likes,comments,text,hashtags,date
companhiadasletras,128926,4033,"“COMO ENFRENTAR O ÓDIO”: O NOVO LIVRO DE FELIPE NETO ESTÁ CHEGANDO
 
Com uma obra polêmica e impactante, Felipe Neto faz sua estreia na Companhia das Letras em 2024. Um dos influenciadores e empresários mais importantes do Brasil, ele conta sua trajetória pessoal e política, revisitando eventos cruciais da história recente do país e fazendo um convite à transformação.
 
Em “Como enfrentar o ódio”, Felipe Neto detalha as formas pelas quais o ódio tomou conta do país e esteve presente em sua vida, mostrando como é possível combatê-lo, usando a comunicação e informações de qualidade.
 
Em breve nas livrarias!

🔔 PARA SABER MAIS, CADASTRE-SE EM COMOENFRENTAROODIO.COM.BR
 
📱 Caso você tenha problemas em acessar o site ou deseje mais informações, entre em contato com nosso atendimento exclusivo: felipeneto@companhiadasletras.com.br ou mande uma mensagem em nosso WhatsApp: 11942927189",[],2024-05-16 15:06:51
companhiadasletras,4902,61,"AJUDE O RIO GRANDE DO SUL

➡️ Você também pode doar diretamente para a Ação da Cidadania, através da chave Pix: sos@acaodacidadania.org.br

Nas últimas semanas, o Rio Grande do Sul passa por uma catástrofe devido às fortes chuvas que atingem o estado. Mortes, desabrigados, falta de alimentos, água e energia, entre outros graves problemas, pedem ajuda emergencial.

Nesse contexto, a Companhia das Letras promove uma ação em prol das vítimas dessa tragédia: todo o lucro arrecadado com a venda de livros da coleção Clássicos Zahar (@editorazahar) no site da editora (www.companhiadasletras.com.br) será revertido para ações destinadas aos necessitados do Rio Grande do Sul, por intermédio da Ação da Cidadania (@acaodacidadania).

A ação tem validade até o dia 31/05/2024, ou até quando durarem os estoques dos títulos selecionados. 

Confira em bit.ly/ajudeors-cia

#sosRioGrandeDoSul",['sosRioGrandeDoSul'],2024-05-09 16:17:53
companhiadasletras,1293,34,"MAIO NA COMPANHIA ✨

Neste mês, chegam à estante da Companhia novos livros de muitos autores célebres: Caetano Veloso, Alejandro Zambra, Muriel Barbery, Moacyr Scliar, Orhan Pamuk e Haruki Murakami, dentre outros. Além disso, nossa lista de não ficção inclui temas diversos, como biologia, política brasileira, história das religiões e questões de gênero. Confira o que vem por aí e atualize sua lista de desejos!

— ""Cine Subaé: Escritos sobre cinema (1960-2023)"", de Caetano Veloso
— ""Eva: Como o corpo feminino conduziu 200 milhões de anos de evolução humana"", de Cat Bohannon (trad. Fernanda Abreu)
— ""Literatura infantil: Cartas ao filho"", de Alejandro Zambra (trad. Miguel Del Castillo)
— ""Carlabê"", de Isabela Noronha
— ""Sonhos tropicais"", de Moacyr Scliar
— ""Uma hora de fervor"", de Muriel Barbery (trad. Rosa Freire d'Aguiar)
— ""Golpe de misericórdia"", de Dennis Lehane (trad. Luiz A. de Araújo)
— ""Noites de peste"", de Orhan Pamuk (trad. Débora Landsberg)
— ""Por que a democracia brasileira não morreu?"", de Marcus André Melo e Carlos Pereira
— ""Bíblia: Volume IV, Antigo Testamento - Os Livros Sapienciais"" (Trad. Frederico Lourenço)
— ""A história dos judeus: Pertencimento — 1492-1900"", de Simon Schama (trad. Donaldson M. Garschagen)
— ""O Fim do Mundo e o impiedoso País das Maravilhas"", de Haruki Murakami (trad. Jefferson José Teixeira) - @editora_alfaguara 
— ""O comprometido"", de Viet Thanh Nguyen (trad. Cássio de Arantes Leite) - @editora_alfaguara 
— ""O homem não existe: Masculinidade, desejo e ficção"", de Ligia Gonçalves Diniz - @editorazahar 
— ""Pagar a terra"", de Joe Sacco (trad. André Czarnobai) - @quadrinhosnacia 
— ""Zona e outros poemas"", de Guillaume Apollinaire (trad. Rodrigo Garcia Lopes) - @penguincompanhia

#companhiadasletras #editoraalfaguara #editorazahar #quadrinhosnacia #penguincompanhia","['companhiadasletras', 'editoraalfaguara', 'editorazahar', 'quadrinhosnacia', 'penguincompanhia']",2024-05-01 11:01:03
companhiadasletras,75,1,"UMA HISTÓRIA DE AMIZADE E VIOLÊNCIA ⚡

Numa trama que se desenvolve como uma transcrição, intercalando ruídos e trechos de cartas, ""CARLABÊ"" explora as lacunas de uma história para desenhar os meandros de uma amizade e a hostilidade de uma cidade em constante expansão. 

Novo romance de Isabela Noronha (@imnoronha), este é um livro sobre a cumplicidade e o afeto que pautam uma amizade e os segredos que não ousamos dividir com ninguém. Já nas livrarias!

📚 Sobre o livro:
Um corpo estirado na rua. Uma mulher desaparecida. Sem notícia da amiga há uma semana, tudo que Saramara tem é o caderno em que Carlabê escrevia cartas, deixado no apartamento em que moravam. Agora, ela precisa responder às perguntas de um homem que, gravando a conversa com um celular, a acompanha pelo bairro de Santa Cecília, na busca incerta pelo paradeiro da moça.

Levados pela voz de Saramara a construir, por gestos e frases vagas, a imagem de Carlabê, não conseguimos, contudo, dizer com convicção que sabemos quem ela é. As dificuldades para se sustentar na capital paulista expõem as personagens ao desamparo, que ameaça suas relações e as leva a tomar decisões arriscadas.

🎨 Capa de Bloco Gráfico (@blocografico) com arte de Cristina Canale

 #carlabê #isabelanoronha #literatura #literaturanacional","['carlabê', 'isabelanoronha', 'literatura', 'literaturanacional']",2024-05-22 17:00:39
companhiadasletras,824,13,"VOCÊ DEIXARIA SUA FILHA IR A MARTE? ⚡

Imagine que um bilionário visionário que você nunca viu na vida escolhe seu filho ou filha para integrar a primeira colônia humana em Marte. Você descobre motivos para ter medo, como a radiação e a gravidade, e os líderes dessa empresa, que parecem não saber nada sobre desenvolvimento infantil.

Com este exemplo, o psicólogo social Jonathan Haidt (@jonathanhaidt) apresenta ""A GERAÇÃO ANSIOSA"", questionando mães e pais: como permitimos que a indústria da tecnologia esteja reconfigurando a infância, substituindo o aspecto físico na socialização e desenvolvendo um fluxo de conteúdo sem filtro? 

Best-seller do New York Times desde seu lançamento, ""A GERAÇÃO ANSIOSA"" mostra o que podemos fazer na prática para reverter esta situação e evitar danos psicológicos ainda mais profundos. Já em pré-venda: link nos destaques!

🔔 Lançamento: 23/07

📚 Sobre o livro:
""A GERAÇÃO ANSIOSA"" demonstra como a 'infância baseada no brincar' entrou em declínio na década de 1980 e foi substituída pela 'infância baseada no celular', acompanhada por uma hiperconectividade que alterou o desenvolvimento social e neurológico dos jovens e tem causado privação de sono, privação social, fragmentação da atenção e vício.

Diante desse cenário catastrófico, Jonathan Haidt mostra a pais, professores, escolas, empresas de tecnologia e governos um plano de ação que não podemos nos dar ao luxo de ignorar, porque o que está em jogo não é apenas o bem-estar de nossas crianças, mas da sociedade como um todo. Liberte a geração ansiosa.

📝 Tradução de Lígia Azevedo

🎨 Capa de Eduardo Foresti - @foresti_design

#companhiadasletras #jonathanhaidt #ageraçãoansiosa #freetheanxiousgeneration @freetheanxiousgeneration #theanxiousgeneration #psicologiasocial #liberteageracaoansiosa #ageraçãoansiosa","['companhiadasletras', 'jonathanhaidt', 'ageraçãoansiosa', 'freetheanxiousgeneration', 'theanxiousgeneration', 'psicologiasocial', 'liberteageracaoansiosa', 'ageraçãoansiosa']",2024-05-22 13:00:33
companhiadasletras,206,11,"CURA A ÁGUA, CURA A TERRA 🌿

De inimigas a aliadas, ""ÁGUA TURVA"", novo romance de Morgana Kretzmann (@morganakretzmann), apresenta três mulheres que se veem obrigadas a vencer um passado turbulento para enfim construir uma possibilidade de futuro para todos. 

Mas elas não estão sozinhas: Sarampião, a figura mítica de um guarda-florestal e protetor da mata, parece acompanhá-las e ajudá-las na batalha. É a esse personagem que pode-se recorrer diante de uma tragédia ambiental anunciada.

📚 Sobre o livro:
Parque Estadual do Turvo, Rio Grande do Sul, fronteira com a Argentina. Uma guarda-florestal, responsável por combater a caça exploratória de animais silvestres. Sua prima, líder de um temido grupo de caçadores e contrabandistas. Uma assessora parlamentar com a chance de mudar o curso da história. 

Da vencedora do Prêmio São Paulo de Literatura 2021, este thriller de tirar o fôlego brinca com os limites entre a verdade e a ficção. Com uma narrativa impressionante, Morgana Kretzmann retrata elementos da história recente do Brasil e denuncia a ambição de homens poderosos diante de um dos nossos maiores tesouros: o meio ambiente.

🎨 Capa de Tereza Bettinardi (@terezabettinardi) com obra de Iberê Camargo

#companhiadasletras #literaturabrasileira #morganakretzmann #águaturva #literatura","['companhiadasletras', 'literaturabrasileira', 'morganakretzmann', 'águaturva', 'literatura']",2024-05-21 23:00:21
companhiadasletras,473,4,"⚡️ LANÇAMENTOS DA SEMANA ⚡️

Eles chegaram! Nesta semana, a Companhia publica quatro obras de relevância internacional: duas críticas ao capitalismo sob pontos de vista diferentes, uma narrativa do nobel de Literatura de 2006 e um romance tocante da autora de ""A elegância do ouriço"". As obras já estão disponíveis online e nas livrarias de todo o país: 

📚 ""A dívida impagável"", de Denise Ferreira da Silva (trad. Nathalia Silva Carneiro, Viviane Nogueira, Jéfferson Luiz da Silva, Roger Farias de Melo e Nicolau Gayão, @editorazahar)

📚 ""Tudo bem ficar com raiva do capitalismo"", de Bernie Sanders com John Nichols (trad. Pedro Maia Soares)

📚 ""Noites de peste"", de Orhan Pamuk (trad. Débora Landsberg)

📚 ""Uma hora de fervor"", de Muriel Barbery (trad. Rosa Freire d'Aguiar)

Já garantiu os seus? Boas leituras! 
📸 @desenhoeditorial 

#lançamentos #editorazahar #companhiadasletras #adívidaimpagável #tudobemficarcomraivadocapitalismo #noitesdepeste #umahoradefervor","['lançamentos', 'editorazahar', 'companhiadasletras', 'adívidaimpagável', 'tudobemficarcomraivadocapitalismo', 'noitesdepeste', 'umahoradefervor']",2024-05-21 21:00:32
companhiadasletras,220,2,"BERNARDO CARVALHO LÊ SEU NOVO ROMANCE 🌿

Em ""OS SUBSTITUTOS"", Bernardo Carvalho constrói uma complexa relação: um pai emotivo que também pode ser sádico, um filho que é adversário e também continuação do pai. Reflexão incômoda sobre a história do Brasil dos últimos sessenta anos, o romance mescla temas ecológicos urgentes, personagens dispostos a tudo por poder e dinheiro e, sobretudo, a emocionante história de um pai e um filho. 

💬 ""Os Okano acreditam numa lei natural de equilíbrio e compensação: toda vez que um homem mata um animal, outro homem morre em algum lugar do planeta para que seu espírito, ao abandoná-lo, converta-se num indivíduo daquela mesma espécie, compensando o que morreu. Uma morte pela outra."" — Bernardo Carvalho

📚 Tensionada todo o tempo entre a perspectiva do menino que vive a história enquanto ela acontece e a do adulto que rememora, a voz que narra ""OS SUBSTITUTOS"" nos convida a olhar para a tragédia de um país. Já nas livrarias!

#literatura #companhiadasletras #literaturabrasileira #bernardocarvalho #ossubstitutos #novenoites","['literatura', 'companhiadasletras', 'literaturabrasileira', 'bernardocarvalho', 'ossubstitutos', 'novenoites']",2024-05-21 15:02:05
companhiadasletras,245,8,"“Em vez de um lobo, eu preferiria ser uma velha bruxa, mas sem a intenção de comer as crianças atraídas para a minha casa feita de doces na floresta. Uma bruxa que só quer acolhê-las e ensinar-lhes alguns truques de cozinha. E contar histórias. Agora só preciso de uma vassoura. Não posso fazer isso sem uma vassoura”, diz a artista Emil Ferris (@emilferris), em entrevista para a Vulture (@vulture). 

Depois do sucesso estrondoso de “Minha coisa favorita é monstro” (mais de 100 mil exemplares vendidos só nos Estados Unidos), ela se prepara para lançar a sequência por lá ainda este mês, pela @fantagraphics. 

No volume 2, a protagonista Karen Reyes (uma menina lobisomem que narra seu cotidiano em um diário) começa a namorar uma garota que conhece no banheiro do Instituto de Arte de Chicago. “Ela sou eu. Mas também não sou eu”, diz Ferris.

Na conversa com o jornalista Mark Yarm, Ferris revela detalhes da criação do primeiro álbum, como a escolha do título, inspirado em uma frase de sua filha, Ruby.
 
O volume 2 de “Minha coisa favorita é monstro” chega ao Brasil em outubro, pela @quadrinhosnacia. 

Muita ansiedade até lá!

#emilferris #minhacoisafavoritaémonstro","['emilferris', 'minhacoisafavoritaémonstro']",2024-05-21 14:22:20
companhiadasletras,307,5,"EM AGOSTO: ""DOMINGOS SODRÉ, UM SACERDOTE AFRICANO (EDIÇÃO REVISTA E AMPLIADA)"", DE JOÃO JOSÉ REIS 📚

Seguindo as pistas encontradas em variada documentação, o livro traça a biografia de um africano liberto que circula na Bahia do século XIX e examina seus múltiplos papéis ao longo da vida: escravo, adivinho, ""feiticeiro"", chefe de junta de alforria e senhor.

📚 Lançamento: 13/08 
Já em pré-venda: link nos destaques.

📚 Sinopse:
O perfil de Domingos Sodré vem se somar a outros estudos biográficos de indivíduos que experimentaram a escravidão e depois conseguiram superá-la, como Rosa Egipcíaca, Chica da Silva, Caetana, Liberata etc. Retirados do anonimato, esses trajetos individuais permitem nova compreensão da sociedade brasileira oitocentista, crivada por tensões entre camadas sociais e códigos culturais distintos. Reinventando valores e práticas, africanos natos como Domingos funcionam como mediadores culturais no Brasil escravista: circulam entre o candomblé e o catolicismo, a medicina africana e a ocidental, a justiça dos pretos e a dos brancos. 

A condição de ""feiticeiro"" e adivinho confere a Domingos lugar social particular. Se, por um lado, é perseguido em razão de práticas ""mágicas"" consideradas perigosas, por outro, a posição de líder religioso permite-lhe barganhar algum espaço no mundo dos brancos.

Tomando a trajetória de Domingos como fio condutor, e cotejando-a com outros perfis e experiências, o livro traça um mapa complexo das relações sociais do Brasil do século XIX, em que violência, perseguição policial e desqualificação social de escravos e libertos combinam-se com compadrios e protecionismos de todo o tipo. Alianças perversas que, longe de contribuírem para diminuir distâncias sociais, reforçam-nas.

🎨 Capa de Alceu Chiesorin Nunes e Mariana Metidieri

#prévenda #umsacerdoteafricano #domingossodré #nãoficção","['prévenda', 'umsacerdoteafricano', 'domingossodré', 'nãoficção']",2024-05-21 11:00:30
