username,likes,comments,text,hashtags,date,day_of_week,hour,word_count,hashtag_count
editorasextante,182,5,PREVENDA   milhoes exemplares vendidos bestseller Acolhendo criança interior Stefanie Stahl mergulha fundo significado autoestima explorando raizes caminhos cultivar amorproprio genuino novo livro Como fortalecer autoestima convite curar feridas antigas construir autoestima solida reflexoes profundas exercicios praticos Prevenda disponivel link bio editorasextante,aceitaçao autoestima autossabotagem crençaslimitantes empoderamento amorproprio,2024-04-25,quinta,14,42,6
editorasextante,420,15,Prevenda disponivel Sophie Deram sophiederambr prestes derrubar mitos revelar descobertas recentes nutriçao saude longevidade novo livro Pare engolir mitos desmistifica mitos comuns alimentaçao ensina tomar decisoes conscientes come base evidencias cientificas Chega dietas restritivas culpa Aprenda comer forma prazerosa saudavel Sophie Deram Garanta exemplar prevenda link bio editorasextante,sophiederam saude alimentaçao paredeengolirmitos opesodasdietas mitos compulsaoalimentar restriçaoalimentar,2024-04-20,sábado,12,48,8
editorasextante,123,0,livro Meditaçoes oferece insights orientaçoes praticas varios aspectos vida desde lidar adversidades melhor forma interagir outros Nesta versao originalmente traduzida grego ingles Gregory Hays  primeira decadas  pensamentos Marco Aurelio falam novo imediatismo nunca antes percepçoes apresentadas forma tao direta impactante  Disponivel formatos livro fisico ebook audiolivro,meditaçoes marcoaurelio filosofia reflexoes insight,2024-04-26,sexta,15,46,5
editorasextante,1396,7,consegue parar ouvir The Tortured Poets Department adorar mergulhar nestes dois livros inspirados vida arte dessa talentosa artista Taylor Swift Wendy Loggia Neste livro ilustrado conhecer trajetoria menina ousou seguir sonhos tornou maiores estrelas musica pop turne coraçao partido Austin SiegemundBroka Emily Wibberley Riley Wynn virou superestrela noite graças album musicas termino single inesquecivel exmarido declara musica maior sucesso ele Riley entra contato Max Harcourt namorado faculdade verdadeira inspiraçao cançao momento Riley quer revelar publico Max verdadeiro muso aceita condiçao fazer parte banda turne cantora,aturnedocoraçaopartido thebreakuptour austinsiegemundbroka emilywibberley romcombooks romcom wendyloggia livroilustrado biografiailustrada comediaromantica taylorswift midnights evermore folklore love reputation red speaknow fearless debut thetorturedpoetsdepartment,2024-04-24,quarta,15,85,21
editorasextante,1362,10,Todos verdadeira industria quimica dentro cerebro capaz produzir substancias especificas gerar sensaçao desejamos Seis substancias viver bem aprender ativar hormonios maneira natural alcançando bemestar fisico mental deseja Aprenda tecnicas poderosas tornar melhor versao si mesmo,hormonios saude saudemental comportamentos dopamina davidjpphillips,2024-04-24,quarta,13,35,6
editorasextante,276,17,diria Bernardinho  vida livros comemoraçao    abril Mundial Livro unimos autores compartilhar mensagens especiais poder leitura Confira indicaçoes leitura autores stories,diamundialdolivro 23deabril leitura livros autoresnacionais,2024-04-23,terça,12,22,5
editorasextante,357,9,Explore Universo desvende misterios vida Enciclopedia Britanica curiosos Desperte curiosidade mergulhe jornada epica conhecimento obra completa fascinante manualdomundo primeiro volume  Viaje cosmos explore formaçao Terra  Descubra segredos quimica fisica  Desvende misterios vida planeta  Aprofundese diversos temas especialistas renomados Imagens incriveis linguagem acessivel tornam leitura leve prazerosa perfeita todos publicos,enciplopedia manualdomundo ciencia curiosidades,2024-04-22,segunda,13,49,4
editorasextante,2862,18,Quer transformar rotina livros essenciais jornada unica coisa Essencialismo Mude horarios mude vida Bons habitos maus habitos,disciplina bookstagram bookrecommendations listadelivros leitura dicadelivro,2024-04-19,sexta,12,17,6
editorasextante,1204,9,Cansado ideias saem papel livro mostra uniao Visionarios cheios ideias inovadoras Integradores que colocam tudo pratica pode levar empresa topo Descubra Caracteristicas cada tipo lider Historias reais sucesso Faça teste Visionario Integrador Dicas relaçao harmoniosa dois superar desafios dupla voce identifica visionario integrador,empreendedorismo dicadelivro empresas lideres,2024-04-18,quinta,22,43,4
editorasextante,122,9,Descubra segredo tras bestseller The New York Times The Wall Street Journal conselhos valiosos finanças pessoais livro ensinar alcançar objetivos financeiros abrir mao ama Preparese jornada liberdade sucesso Ramit Sethi,livros finanças sucesso liberdadefinanceira investimento comoficarrico ramitsethi,2024-04-17,quarta,12,30,7
editorasextante,618,5,sociedadedelivros  coragem agradar livro teor filosofico reflexivo livro escrito dialogo filosofo jovem cheio duvidas onde discutem inferioridade autoconfiança autoestima começar leitura desse livro pensava sentiria dificuldades terminalo genero leio usualmente entretanto surpreendi livro prendeu filosofo expor teorias utiliza muitos acontecimentos cotidiano aproximam fato narrado Desta forma varios momentos consegui enxergar livro Alem disso varias citaçoes acredito serem importantes serem lidas favoritas tirando postei foto Crianças ensinadas enfrentar desafios tentarao evitar todos desafios Muitas vezes fugir caminho dificil causa prejuizo enorme sempre ensinado agir assim Recomendo leitura todos pareça livro complicado ter filosofia Adler leitura totalmente fluida leve,repost booklover books bookgram bookstagrammer bookgrambr,2024-04-16,terça,14,98,6
editorasextante,2950,38,busca inspiraçao dia Neste video encontrara frases inspiradoras livro convidam refletir vida darao força seguir frente momentos desafiadores novo livro Haemin Sunim Quando coisas saem espera chegou guiar nessa jornada renomado autor monge budista oferece sabedoria compaixao lidarmos dificuldades encontrarmos paz interior,haemin haminsunim frases frasedodia quotes inspiraçao pazinterior,2024-04-14,domingo,11,42,7
editorasextante,5555,33,Bom dia leiturasdaceica Se todos levamos rasteiras vida certas pessoas conseguem enfrentar tantas adversidades  assim sair fortes livro poderoso autora Brene Brown explora tema resiliencia crescimento pessoal Mais forte nunca destaca importancia enfrentar superar vergonha vulnerabilidade medo argumentando experiencias podem tornar fortes autenticos oferece insights estrategias praticas cultivar coragem compaixao conexao encorajando leitores abraçar autenticidade tornarem lideres eficazes vidas pessoais profissionais Algumas ideias discutidas livro  Enfrentar superar vergonha vulnerabilidade medo  Cultivar coragem compaixao conexao Desenvolver resiliencia crescimento pessoal  Abraçar autenticidade liderança eficaz  Estrategias praticas lidar desafios emocionais  importancia aceitar imperfeiçoes aprender Leitura agradavel leve reflexiva acolhedora Gostei demais quero ler todos livros autora,repost brenebrown maisfortequenunca dicadeleitura bookrecommendation,2024-04-13,sábado,11,104,5
editorasextante,732,9,Descubra nova versao si tecnicas ferramentas apresentadas livro Seis substancias viver bem seis substancias afetam profundamente corpo responsaveis grande parte pensamentos sentimentos descobrir capaz ativar hormonios naturalmente criar estado animo deseja,comportamentos hormonios dopamina endorfina oxitocina serotonina testosterona cortisol,2024-04-12,sexta,12,31,8
editorasextante,239,8,PREVENDA Enciclopedia Britanica curiosos vol   Foguetes vulcoes radioatividade oceano profundo outros assuntos extraordinarios Apaixonados missao explicar ciencia vida Mari Fulfaro Ibere Thenorio criadores manualdomundo trazem Brasil versao moderna respeitada Enciclopedia Britanica     mata sede conhecimento varias geraçoes curiosos Compre prevenda link bio editorasextante,ciencia conhecimento curiosidades manualdomundo enciclopedia,2024-04-10,quarta,12,44,5
editorasextante,1071,4,livro encontrar paz sabedoria momentos dificeis Descubra transformar desafios oportunidades crescimento Quando coisas saem espera autor Haemin Sunim aborda resiliencia crescimento espiritual atraves desafios pessoais PREVENDA disponivel formatos livro fisico ebook audiolivro,haeminsunim resiliencia autodescoberta inspiraçao frasedodia,2024-04-09,terça,12,32,5
editorasextante,187,2,tipico livro finanças ve ai Chamado mago riqueza Forbes novo guru Fortune apresentador serie Como ficar rico Netflix Ramit Sethi criou sistema seis semanas alcançar metas,ramitsethi comoficarrico finanças dinheiro educacaofinanceira gestaofinanceira liberdadefinanceira,2024-04-08,segunda,12,26,7
editorasextante,1474,12,Hoje Mundial Saude tal celebrarmos dose extra conhecimento fortalecer corpo mente Descubra alguns livros vao transformar saude fisica mental Lista livros Seis substancias viver bem Mente afiada Superintestino peso dietas aguenta feliz,DiaMundialdaSaude LivrosParaVitalidade BemEstar SaudeMental mudançadevida saude,2024-04-07,domingo,21,32,6
